"Rank_name","Rank_Post","Rank_Name","Rank_Year","Rank_IMDbRating"
"1 ( 1)","https://m.media-amazon.com/images/M/MV5BNTIzNDM1NjkwOV5BMl5BanBnXkFtZTgwNDU4ODgxNjM@._V1_UX45_CR0,0,45,67_AL_.jpg","American Horror Story","(2011)","8.1"
"2 ( 1)","https://m.media-amazon.com/images/M/MV5BMjUyMDE4MzkzN15BMl5BanBnXkFtZTgwMzIwMTYzNjM@._V1_UY67_CR0,0,45,67_AL_.jpg","Maniac","(2018)","8.2"
"3 ( 4)","https://m.media-amazon.com/images/M/MV5BMTY5OTNjNTctMWYxNC00YjE2LWEzMTMtMTIzMzQ1MzhkODRhXkEyXkFqcGdeQXVyMzAzNTY3MDM@._V1_UY67_CR0,0,45,67_AL_.jpg","Grey's Anatomy","(2005)","7.6"
"4 ( 1)","https://m.media-amazon.com/images/M/MV5BMjM5MzAzNTQyOV5BMl5BanBnXkFtZTgwNjY0MjcyNjM@._V1_UY67_CR0,0,45,67_AL_.jpg","Shameless","(2011)","8.7"
"5 ( 1)","https://m.media-amazon.com/images/M/MV5BMjE3NTQ1NDg1Ml5BMl5BanBnXkFtZTgwNzY2NDA0MjI@._V1_UY67_CR0,0,45,67_AL_.jpg","Game of Thrones","(2011)","9.5"
"6 ( 1)","https://m.media-amazon.com/images/M/MV5BY2FmZTY5YTktOWRlYy00NmIyLWE0ZmQtZDg2YjlmMzczZDZiXkEyXkFqcGdeQXVyNjg4NzAyOTA@._V1_UX45_CR0,0,45,67_AL_.jpg","The Big Bang Theory","(2007)","8.2"
"7 ( 121)","https://m.media-amazon.com/images/M/MV5BMTU0NDc4Mjc4N15BMl5BanBnXkFtZTgwNjcyNTM0NjM@._V1_UY67_CR0,0,45,67_AL_.jpg","Titans","(2018)","7.1"
"8 ( 2)","https://m.media-amazon.com/images/M/MV5BMmY4NjRmZDMtYmZjOS00OWI2LTlmMjktYjg3N2FiNzg4OTA1XkEyXkFqcGdeQXVyNjMxNzcwOTI@._V1_UY67_CR0,0,45,67_AL_.jpg","Manifest","(2018)","7.8"
"9 ( 11)","https://m.media-amazon.com/images/M/MV5BMTcwMDAzMDk3OF5BMl5BanBnXkFtZTgwMjY0MzcyNjM@._V1_UY67_CR0,0,45,67_AL_.jpg","The Walking Dead","(2010)","8.4"
"10 ( 2)","https://m.media-amazon.com/images/M/MV5BMTAxOTQ0MjUzMzJeQTJeQWpwZ15BbWU4MDY0NTAxNzMx._V1_UY67_CR0,0,45,67_AL_.jpg","Better Call Saul","(2015)","8.7"
"11 ( 5)","https://m.media-amazon.com/images/M/MV5BOTY5MzBiNmEtOGE0MS00YzYzLWE3MGYtNmYwMDdiNzZiMDU5XkEyXkFqcGdeQXVyMTMxODk2OTU@._V1_UY67_CR4,0,45,67_AL_.jpg","Mayans M.C.","(2018)","7.6"
"12 ( 6)","https://m.media-amazon.com/images/M/MV5BMjIwOTEwMDk4MV5BMl5BanBnXkFtZTgwMTY1NTEwNjM@._V1_UY67_CR0,0,45,67_AL_.jpg","Ozark","(2017)","8.4"
"13 ( 5)","https://m.media-amazon.com/images/M/MV5BN2UyMTY5ZjUtZjRhZS00Y2MyLWFjZDAtNTBkMDJiMGRjYTk1XkEyXkFqcGdeQXVyODkxMzcxOTY@._V1_UY67_CR4,0,45,67_AL_.jpg","9-1-1","(2018)","7.5"
"14 ( 1)","https://m.media-amazon.com/images/M/MV5BZGY3MDk3ZWYtNjA1YS00NzFhLWIxMTctOTZhOWVhZjE2Mjk0XkEyXkFqcGdeQXVyNjMxNzcwOTI@._V1_UY67_CR0,0,45,67_AL_.jpg","This Is Us","(2016)","8.8"
